numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
0,0.4412,0.8984,0.1147,-9.9237,-0.8168,-4.6947
1,0.4619,0.8774,0.0928,-5.4580,-9.6336,3.2519
2,0.4475,0.8940,0.0925,3.5344,4.0076,-4.7099
3,0.4592,0.8896,0.0808,-6.3053,-8.7481,2.7863
4,0.4502,0.8958,0.0957,0.3053,1.6870,-2.2595
5,0.4639,0.8838,0.0808,-5.2824,-6.1221,1.5344
6,0.4500,0.8943,0.0930,-1.4427,-0.6260,-0.8473
7,0.4636,0.8879,0.0796,-4.1527,-3.6031,0.6565
8,0.4470,0.8955,0.0923,-3.0534,-2.4504,-0.0687
9,0.4573,0.8855,0.0842,-3.0076,-2.4427,0.0611
10,0.4507,0.8921,0.0947,-3.7405,-3.4046,0.5496
11,0.4526,0.8875,0.0879,-2.1832,-1.7023,-0.8092
12,0.4539,0.8923,0.0906,-3.0305,-3.8702,0.4656
13,0.4558,0.8870,0.0806,-2.5191,-1.9237,-0.6947
14,0.4502,0.8926,0.0881,-3.4198,-3.8321,0.4504
15,0.4504,0.8887,0.0889,-2.1832,-2.0763,-0.3206
16,0.4460,0.8921,0.0923,-3.2519,-3.6870,0.1679
17,0.4487,0.8862,0.0872,-2.5878,-2.0763,-0.3969
18,0.4529,0.8892,0.0884,-3.1756,-3.4656,-0.0458
19,0.4568,0.8884,0.0869,-2.0992,-1.8092,-0.5802
20,0.4543,0.8889,0.0933,-3.3130,-3.7252,0.3511
21,0.4524,0.8916,0.0859,-2.1221,-1.8321,-0.8702
22,0.4529,0.8887,0.0840,-2.9924,-3.7634,0.2824
23,0.4529,0.8901,0.0869,-2.1985,-1.9618,-0.5496
24,0.4526,0.8921,0.0850,-3.0000,-3.3969,0.1832
25,0.4502,0.8928,0.0957,-2.3435,-2.1985,-0.3893
26,0.4561,0.8936,0.0857,-3.1756,-3.5954,0.2901
27,0.4531,0.8953,0.0881,-2.2519,-2.1832,-0.5267
28,0.4570,0.8901,0.0874,-3.1679,-3.5115,0.2443
29,0.4521,0.8909,0.0901,-2.3969,-2.0382,-0.1908
30,0.4526,0.8882,0.0815,-3.1221,-3.0458,-0.0305
31,0.4551,0.8918,0.0857,-2.3359,-2.2672,-0.4427
32,0.4558,0.8867,0.0830,-2.9084,-2.9466,-0.0534
33,0.4531,0.8926,0.0894,-2.6947,-2.7710,-0.0687
34,0.4592,0.8867,0.0842,-2.7252,-3.0458,-0.2748
